행정구역별,2016,2017,2018,2019,2020
전국,5.2 ,5.2 ,5.3 ,5.3 ,5.2 
서울특별시,4.4 ,4.4 ,4.4 ,4.4 ,4.3 
부산광역시,4.4 ,4.4 ,4.5 ,4.6 ,4.6 
대구광역시,5.1 ,5.1 ,5.1 ,5.2 ,5.1 
인천광역시,5.3 ,5.3 ,5.4 ,5.4 ,5.3 
광주광역시,5.9 ,5.9 ,5.9 ,6.0 ,5.8 
대전광역시,5.6 ,5.5 ,5.5 ,5.5 ,5.4 
울산광역시,5.6 ,5.7 ,5.9 ,6.0 ,5.9 
세종특별자치시,7.4 ,7.5 ,8.0 ,8.2 ,8.3 
경기도,5.7 ,5.7 ,5.7 ,5.8 ,5.6 
강원도,5.0 ,5.0 ,5.0 ,5.0 ,4.8 
충청북도,5.2 ,5.2 ,5.3 ,5.3 ,5.2 
충청남도,5.4 ,5.4 ,5.5 ,5.6 ,5.5 
전라북도,5.3 ,5.3 ,5.4 ,5.4 ,5.3 
전라남도,5.2 ,5.2 ,5.3 ,5.3 ,5.2 
경상북도,4.8 ,4.8 ,4.8 ,4.9 ,4.9 
경상남도,5.5 ,5.6 ,5.7 ,5.8 ,5.7 
제주특별자치도,6.1 ,6.1 ,6.1 ,6.2 ,6.0 
