행정구역별,2016년,2017년,2018년,2019년,2020년
전국,1436948,1379766,1322406,1260117,1183750
서울특별시,278294,263148,246867,232454,219101
부산광역시,88339,83545,77755,72403,67632
대구광역시,61356,59102,56985,54078,49774
인천광역시,87898,83619,80023,75794,69296
광주광역시,39309,37534,35659,33878,31648
대전광역시,42449,40061,37736,35066,32559
울산광역시,37507,35376,32861,30431,27835
세종특별자치시,9898,11031,12432,12966,12225
경기도,383763,372622,366403,356169,341434
강원도,37445,36456,35685,34928,33486
충청북도,42984,41480,40021,38744,36691
충청남도,59967,58589,56829,54280,50406
전라북도,43026,40699,38328,36082,33503
전라남도,44128,42584,40173,38275,35888
경상북도,68288,65118,61237,57670,53145
경상남도,93833,90261,85031,79222,72264
제주특별자치도,18469,18546,18387,17682,16868
