행정구역별,2016년,2017년,2018년,2019년,2020년
전국,281635,264455,257622,239159,213502
서울특별시,57643,53776,52005,48261,44746
부산광역시,17113,15677,14781,13780,12128
대구광역시,12216,11392,10967,9880,8340
인천광역시,16092,15235,14850,13401,11574
광주광역시,7468,7141,6632,6297,5560
대전광역시,8325,7697,7377,6602,5976
울산광역시,7006,6331,5894,5442,4737
세종특별자치시,1612,1728,2038,2039,1854
경기도,70052,66429,66877,62356,57814
강원도,7468,7295,6994,6762,5868
충청북도,8334,7990,7827,7239,6682
충청남도,11792,10961,10970,9826,8493
전라북도,8216,7817,7219,7005,6053
전라남도,8554,8049,7587,7413,6365
경상북도,13363,12190,11687,10637,9046
경상남도,17580,15978,14996,13613,11900
제주특별자치도,3705,3654,3638,3358,2981
