행정구역별(읍면동),2016,2017,2018,2019,2020
전국,51269554,51422507,51629512,51779203,51829136
서울특별시,9805506,9741871,9673936,9639541,9586195
부산광역시,3440484,3416918,3395278,3372692,3349016
대구광역시,2461002,2453041,2444412,2429940,2410700
인천광역시,2913024,2925967,2936117,2952237,2945454
광주광역시,1501557,1496172,1490092,1489730,1477573
대전광역시,1535445,1525849,1511214,1498839,1488435
울산광역시,1166033,1157077,1150116,1143692,1135423
세종특별자치시,242507,276589,312374,338136,353933
경기도,12671956,12851601,13103188,13300900,13511676
강원도,1521751,1521386,1520391,1520127,1521763
충청북도,1603404,1611009,1620935,1629343,1632088
충청남도,2132566,2162426,2181416,2188649,2176636
전라북도,1833168,1826174,1818157,1807423,1802766
전라남도,1796017,1792319,1790352,1787543,1788807
경상북도,2682169,2677058,2672902,2668154,2644757
경상남도,3339633,3345293,3350350,3347209,3333056
제주특별자치도,623332,641757,658282,665048,670858
