행정구역별,2016년,2017년,2018년,2019년,2020년
전국,27.9,28.6,29.3,30.2,31.7
서울특별시,30.1,31.0,32.0,33.4,34.9
부산광역시,27.7,28.7,29.7,30.7,32.4
대구광역시,26.4,27.4,28.2,29.4,30.9
인천광역시,23.9,24.7,25.2,26.6,28.3
광주광역시,29.0,29.8,30.2,31.1,32.4
대전광역시,30.4,31.5,32.5,33.7,36.3
울산광역시,24.6,25.1,25.6,26.5,27.7
세종특별자치시,30.6,30.2,30.0,30.1,31.3
경기도,23.8,24.4,25.2,26.3,27.6
강원도,32.1,32.2,32.8,32.9,35.0
충청북도,30.3,31.0,31.8,32.9,34.8
충청남도,30.4,31.1,31.8,32.5,34.2
전라북도,30.7,31.2,31.7,32.3,33.8
전라남도,31.2,31.6,31.9,32.1,33.7
경상북도,31.3,31.9,32.3,32.7,34.4
경상남도,28.1,28.6,29.1,29.6,30.9
제주특별자치도,27.4,28.6,29.4,29.7,31.1
