행정구역별,2016,2017,2018,2019,2020
전국,5397615,5618677,5848594,6147516,6643354
서울특별시,1138860,1180540,1229421,1299787,1390701
부산광역시,372412,388899,404408,423227,455207
대구광역시,247444,259525,269903,284416,304543
인천광역시,254076,266434,275898,297865,324841
광주광역시,165169,171424,174614,182364,193948
대전광역시,179605,188136,195544,205165,228842
울산광역시,104856,107497,110236,116015,122848
세종특별자치시,27683,31472,35763,39078,43577
경기도,1067916,1124541,1197586,1290893,1406010
강원도,197917,199645,206295,208857,231371
충청북도,187377,195186,204109,215196,236208
충청남도,247056,259727,270497,280773,304973
전라북도,222201,227600,232587,238746,255269
전라남도,227225,232022,235062,238147,256633
경상북도,336547,346998,353702,360213,388791
경상남도,358430,370293,379719,391421,417737
제주특별자치도,62841,68738,73250,75353,81855
