행정구역별,2016,2017,2018,2019,2020
전국,51696216,51778544,51826059,51849861,51829023
서울특별시,9930616,9857426,9765623,9729107,9668465
부산광역시,3498529,3470653,3441453,3413841,3391946
대구광역시,2484557,2475231,2461769,2438031,2418346
인천광역시,2943069,2948542,2954642,2957026,2942828
광주광역시,1469214,1463770,1459336,1456468,1450062
대전광역시,1514370,1502227,1489936,1474870,1463882
울산광역시,1172304,1165132,1155623,1148019,1136017
세종특별자치시,243048,280100,314126,340575,355831
경기도,12716780,12873895,13077153,13239666,13427014
강원도,1550806,1550142,1543052,1541502,1542840
충청북도,1591625,1594432,1599252,1600007,1600837
충청남도,2096727,2116770,2126282,2123709,2121029
전라북도,1864791,1854607,1836832,1818917,1804104
전라남도,1903914,1896424,1882970,1868745,1851549
경상북도,2700398,2691706,2676831,2665836,2639422
경상남도,3373871,3380404,3373988,3362553,3340216
제주특별자치도,641597,657083,667191,670989,674635
